1,1,0.108
1,2,0.032
1,3,0.031
2,1,0.161
2,2,0.054
2,3,0.053
3,1,0.307
3,2,0.095
3,3,0.098
4,1,0.577
4,2,0.112
4,3,0.108
5,1,1.160
5,2,0.769
5,3,0.757
6,1,1.110
6,2,0.829
6,3,0.826
7,1,0.112
7,2,0.032
7,3,0.032
8,1,0.169
8,2,0.056
8,3,0.057
9,1,1.099
9,2,0.931
9,3,0.914
10,1,1.771
10,2,1.007
10,3,1.006
11,1,0.667
11,2,0.232
11,3,0.236
12,1,0.882
12,2,0.257
12,3,0.253
13,1,1.204
13,2,0.839
13,3,0.833
14,1,2.712
14,2,1.391
14,3,1.414
15,1,1.228
15,2,0.804
15,3,0.813
16,1,1.023
16,2,0.870
16,3,0.882
17,1,2.751
17,2,1.688
17,3,1.681
18,1,2.749
18,2,1.683
18,3,1.683
19,1,5.618
19,2,3.391
19,3,3.380
20,1,0.375
20,2,0.103
20,3,0.104
21,1,10.142
21,2,1.119
21,3,1.114
22,1,11.557
22,2,1.381
22,3,1.376
23,1,22.326
23,2,2.639
23,3,2.549
24,1,52.872
24,2,9.353
24,3,9.169
25,1,0.390
25,2,0.155
25,3,0.165
26,1,1.144
26,2,0.261
26,3,0.256
27,1,0.380
27,2,0.160
27,3,0.157
28,1,10.451
28,2,1.511
28,3,1.507
29,1,9.596
29,2,8.827
29,3,9.053
30,1,0.582
30,2,0.430
30,3,0.453
31,1,3.205
31,2,0.791
31,3,0.802
32,1,6.970
32,2,0.976
32,3,0.983
33,1,5.111
33,2,3.477
33,3,3.508
34,1,10.275
34,2,3.680
34,3,3.682
35,1,10.314
35,2,3.657
35,3,3.658
36,1,1.385
36,2,1.231
36,3,1.252
37,1,0.357
37,2,0.141
37,3,0.134
38,1,0.217
38,2,0.075
38,3,0.076
39,1,0.341
39,2,0.140
39,3,0.142
40,1,0.506
40,2,0.208
40,3,0.225
41,1,0.199
41,2,0.071
41,3,0.075
42,1,0.191
42,2,0.068
42,3,0.064
43,1,0.178
43,2,0.058
43,3,0.062
1,1,0.063
1,2,0.017
1,3,0.018
2,1,0.113
2,2,0.036
2,3,0.036
3,1,0.206
3,2,0.090
3,3,0.085
4,1,0.435
4,2,0.086
4,3,0.087
5,1,1.030
5,2,0.847
5,3,0.858
6,1,1.052
6,2,0.785
6,3,0.787
7,1,0.083
7,2,0.027
7,3,0.024
8,1,0.130
8,2,0.040
8,3,0.039
9,1,1.034
9,2,0.924
9,3,0.910
10,1,1.359
10,2,1.000
10,3,1.001
11,1,0.561
11,2,0.236
11,3,0.229
12,1,0.706
12,2,0.274
12,3,0.274
13,1,1.079
13,2,0.862
13,3,0.872
14,1,2.670
14,2,1.370
14,3,1.414
15,1,1.095
15,2,0.836
15,3,0.831
16,1,1.082
16,2,0.941
16,3,0.962
17,1,2.671
17,2,1.691
17,3,1.729
18,1,2.586
18,2,1.634
18,3,1.632
19,1,5.243
19,2,3.378
19,3,3.368
20,1,0.318
20,2,0.078
20,3,0.079
21,1,9.956
21,2,1.042
21,3,1.061
22,1,11.391
22,2,1.272
22,3,1.229
23,1,22.071
23,2,2.686
23,3,2.643
24,1,55.525
24,2,10.308
24,3,10.289
25,1,2.819
25,2,0.447
25,3,0.447
26,1,0.848
26,2,0.328
26,3,0.341
27,1,2.829
27,2,0.510
27,3,0.516
28,1,9.680
28,2,1.535
28,3,1.541
29,1,9.868
29,2,9.241
29,3,9.625
30,1,0.527
30,2,0.435
30,3,0.419
31,1,2.463
31,2,0.754
31,3,0.765
32,1,6.142
32,2,0.955
32,3,0.932
33,1,4.616
33,2,3.391
33,3,3.372
34,1,10.157
34,2,3.668
34,3,3.694
35,1,10.124
35,2,3.677
35,3,3.687
36,1,1.336
36,2,1.227
36,3,1.214
37,1,0.291
37,2,0.112
37,3,0.115
38,1,0.178
38,2,0.050
38,3,0.049
39,1,0.293
39,2,0.100
39,3,0.114
40,1,0.432
40,2,0.180
40,3,0.167
41,1,0.175
41,2,0.044
41,3,0.052
42,1,0.170
42,2,0.042
42,3,0.041
43,1,0.144
43,2,0.036
43,3,0.037
